0.444859,0.480006,0.532105,0.455654,0.441926,0.452776,0.433083,0.448176,0.529460,0.455308,0.458237,0.520807,0.461285,0.465107,0.487882,0.438243,0.478914,0.470808,0.549797,0.506916,0.437881,0.453043,0.499163,0.478911,0.433087,0.505432,0.421862,0.492456,0.405064,0.493201,0.476717,0.374952,0.442213,0.512856,0.422488,0.363796,0.494214,0.592104,0.461247,0.534385,0.420027,0.464230,0.429804,0.429456,0.501198,0.482803,0.391388,0.431048
0.503103,0.473165,0.464170,0.378236,0.387645,0.459888,0.472073,0.420136,0.437000,0.455145,0.417222,0.461996,0.420547,0.339019,0.458447,0.436619,0.412824,0.471460,0.505709,0.494419,0.407051,0.510860,0.532519,0.455204,0.498224,0.476940,0.360891,0.433436,0.402087,0.488695,0.419560,0.375245,0.482128,0.436238,0.400929,0.362806,0.476332,0.442142,0.454855,0.456692,0.436525,0.390435,0.432904,0.396484,0.425892,0.482032,0.438061,0.414847
0.361050,0.447742,0.530001,0.418305,0.407994,0.405473,0.461439,0.427561,0.385748,0.472547,0.367930,0.427113,0.384915,0.382923,0.487022,0.382708,0.444109,0.331444,0.452562,0.428291,0.339967,0.381033,0.355765,0.376874,0.372107,0.466450,0.336937,0.350442,0.370171,0.316311,0.358179,0.240780,0.390499,0.303131,0.340272,0.383512,0.405570,0.378507,0.254566,0.244555,0.330127,0.332039,0.306221,0.270071,0.373663,0.314726,0.267022,0.322955
0.311939,0.325859,0.412207,0.332482,0.273964,0.314827,0.359882,0.286164,0.292529,0.218283,0.294891,0.413800,0.297935,0.284873,0.182571,0.205163,0.358954,0.247813,0.223422,0.288821,0.350815,0.371019,0.296841,0.348290,0.281700,0.329523,0.205222,0.168214,0.275695,0.201114,0.243192,0.184118,0.259705,0.203566,0.297212,0.169060,0.308639,0.196418,0.295868,0.266973,0.140200,0.227898,0.173636,0.178629,0.232164,0.241739,0.165086,0.111859
0.122240,0.115336,0.295839,0.127793,0.249748,0.091079,0.137719,0.100018,0.094981,0.126990,0.111207,0.156837,0.065892,0.191318,0.078947,0.174018,0.008547,0.056631,0.121468,0.132715,0.027710,0.000000,0.103719,0.000000,0.000000,0.049747,0.079323,0.000000,0.010436,0.045300,0.138901,0.169311,0.055337,0.000000,0.092938,0.105034,0.185594,0.137191,0.009607,0.177642,0.000000,0.109202,0.187625,0.000000,0.107912,0.136589,0.013196,0.091426
0.218440,0.018092,0.098364,0.136441,0.109178,0.130718,0.124168,0.076492,0.052872,0.105588,0.155274,0.041868,0.091746,0.090538,0.075268,0.158607,0.231684,0.051920,0.238398,0.183714,0.240197,0.325829,0.286870,0.176113,0.308395,0.247774,0.182796,0.226598,0.219988,0.297400,0.196415,0.232545,0.183743,0.254193,0.144340,0.243466,0.263747,0.247581,0.348090,0.236052,0.222392,0.208380,0.205330,0.198547,0.357454,0.404203,0.252948,0.302261
0.364163,0.259526,0.376395,0.278789,0.234575,0.255960,0.338668,0.371334,0.385010,0.287971,0.290621,0.256900,0.333756,0.258518,0.285454,0.337215,0.288474,0.276913,0.281347,0.279091,0.307241,0.315208,0.345362,0.323454,0.359013,0.390702,0.344145,0.379386,0.327505,0.335518,0.271476,0.240982,0.365765,0.381846,0.309705,0.326859,0.415388,0.379914,0.341165,0.393632,0.301590,0.341356,0.310760,0.379387,0.418363,0.473434,0.449676,0.391171
0.417314,0.401090,0.481247,0.362544,0.375930,0.387190,0.417436,0.372660,0.394584,0.457968,0.447075,0.423036,0.410674,0.406609,0.460986,0.442892,0.489781,0.415278,0.484394,0.439910,0.383847,0.499521,0.413899,0.474260,0.423233,0.481058,0.425368,0.422781,0.478236,0.486983,0.473313,0.421036,0.423653,0.458983,0.473756,0.413242,0.509837,0.445836,0.546610,0.545344,0.503429,0.489711,0.479129,0.483904,0.454799,0.507483,0.439174,0.536811
0.518483,0.488415,0.533228,0.476601,0.492227,0.525671,0.503312,0.557553,0.525319,0.509340,0.491928,0.578769,0.499887,0.551190,0.525796,0.515141,0.562040,0.514306,0.578590,0.596302,0.453785,0.542889,0.506952,0.512729,0.498068,0.577376,0.486574,0.529212,0.467408,0.594152,0.499916,0.489705,0.557240,0.565413,0.512760,0.526639,0.631426,0.587416,0.535633,0.651322,0.534726,0.551050,0.535775,0.574334,0.586316,0.582828,0.508823,0.559406
0.562336,0.581798,0.575671,0.525374,0.503887,0.558139,0.546366,0.515678,0.545717,0.530113,0.536707,0.557389,0.513598,0.507102,0.526716,0.530593,0.550051,0.474744,0.621198,0.541640,0.555411,0.552259,0.595996,0.588725,0.502829,0.566826,0.476135,0.515615,0.490572,0.555582,0.544360,0.511905,0.484982,0.532725,0.533004,0.463420,0.581252,0.544561,0.583403,0.593193,0.570164,0.524000,0.553648,0.588546,0.568617,0.615431,0.530667,0.492701
